model,hyperparameter_1,values_1,hyperparameter_2,values_2,paramCombinations,cvFolds,cvFits,optimization_metric
model1_logistic_regression,regParam,"0.001;0.01;0.1",elasticNetParam,"0.0;0.5",6,3,18,areaUnderROC
model2_random_forest,numTrees,"20;50;100",maxDepth,"5;10",6,3,18,areaUnderROC
