q5_results.day_of_week,q5_results.avg_arr_delay,q5_results.avg_dep_delay,q5_results.total_flights
1,7.025018032976208,12.638752629217397,1056398
2,4.39360542065877,10.360307950355024,961064
3,4.8252068688921135,10.333571851018933,958699
4,8.178982891348445,13.083720716833563,1024394
5,9.607463019013833,14.589304465295582,1037087
6,6.453122999593656,12.5116943406939,898255
7,8.774955555339673,14.28046766468811,1029370
