q2_results.origin,q2_results.avg_dep_delay
MGW,72.62162162162163
EWN,68.40425531914893
HTS,42.78883495145631
SMX,40.509433962264154
CKB,37.024752475247524
OTH,35.348973607038126
HGR,35.1184668989547
PBG,27.677754677754677
HYA,26.6360153256705
DEC,26.26771653543307
ASE,26.226261530113945
STX,25.730964467005077
EAU,25.689655172413794
USA,25.531295487627364
MCW,24.7317880794702
SCK,24.594541910331383
HOB,24.10730593607306
SPI,24.0
CIU,23.949860724233982
IAG,23.664
